"Name", "Stmts", "Miss", "Cover"
"scarajectory/__init__.py", "9", "0", "100%"
"scarajectory/core/__init__.py", "9", "0", "100%"
"scarajectory/core/model/__init__.py", "9", "0", "100%"
"scarajectory/core/model/communication/__init__.py", "9", "0", "100%"
"scarajectory/core/model/communication/stream_config.py", "15", "0", "100%"
"scarajectory/core/model/communication/stream_progress.py", "26", "3", "88%"
"scarajectory/core/model/communication/stream_session.py", "19", "0", "100%"
"scarajectory/core/model/communication/stream_state.py", "17", "0", "100%"
"scarajectory/core/model/dsl/__init__.py", "9", "0", "100%"
"scarajectory/core/model/dsl/ast/__init__.py", "9", "0", "100%"
"scarajectory/core/model/dsl/ast/iscara_instruction.py", "23", "0", "100%"
"scarajectory/core/model/dsl/ast/iscara_program.py", "20", "0", "100%"
"scarajectory/core/model/dsl/ast/scara_command_type.py", "44", "0", "100%"
"scarajectory/core/model/dsl/ast/scara_instruction.py", "25", "1", "96%"
"scarajectory/core/model/dsl/ast/scara_program.py", "32", "9", "72%"
"scarajectory/core/model/dsl/diagnostic/__init__.py", "9", "0", "100%"
"scarajectory/core/model/dsl/diagnostic/scara_diagnostic.py", "22", "0", "100%"
"scarajectory/core/model/dsl/diagnostic/scara_diagnostic_severity.py", "15", "0", "100%"
"scarajectory/core/model/dsl/token/__init__.py", "9", "0", "100%"
"scarajectory/core/model/dsl/token/scara_token.py", "17", "0", "100%"
"scarajectory/core/model/dsl/token/scara_token_type.py", "23", "0", "100%"
"scarajectory/core/model/kinematics/__init__.py", "9", "0", "100%"
"scarajectory/core/model/kinematics/scara_bounds.py", "29", "0", "100%"
"scarajectory/core/model/trajectory/__init__.py", "9", "0", "100%"
"scarajectory/core/model/trajectory/itrajectory_history.py", "14", "0", "100%"
"scarajectory/core/model/trajectory/itrajectory_mutable.py", "21", "0", "100%"
"scarajectory/core/model/trajectory/itrajectory_plan.py", "19", "0", "100%"
"scarajectory/core/model/trajectory/itrajectory_read_only.py", "18", "0", "100%"
"scarajectory/core/model/trajectory/plan_history.py", "34", "1", "97%"
"scarajectory/core/model/trajectory/trajectory_metrics.py", "30", "0", "100%"
"scarajectory/core/model/trajectory/trajectory_plan.py", "100", "14", "86%"
"scarajectory/core/model/trajectory/trajectory_serializer.py", "33", "0", "100%"
"scarajectory/core/model/trajectory/validation_result.py", "15", "0", "100%"
"scarajectory/core/model/trajectory/waypoint.py", "33", "1", "97%"
"scarajectory/core/service/__init__.py", "9", "0", "100%"
"scarajectory/core/service/communication/__init__.py", "9", "0", "100%"
"scarajectory/core/service/communication/irobot_controller.py", "22", "0", "100%"
"scarajectory/core/service/communication/istream_execution_service.py", "16", "16", "0%"
"scarajectory/core/service/communication/istream_observer.py", "15", "0", "100%"
"scarajectory/core/service/communication/itrajectory_streamer.py", "25", "0", "100%"
"scarajectory/core/service/dsl/__init__.py", "9", "0", "100%"
"scarajectory/core/service/dsl/compiler/__init__.py", "9", "0", "100%"
"scarajectory/core/service/dsl/compiler/arc_interpolator.py", "37", "25", "32%"
"scarajectory/core/service/dsl/compiler/control_command_compiler.py", "36", "4", "89%"
"scarajectory/core/service/dsl/compiler/iarc_interpolator.py", "13", "0", "100%"
"scarajectory/core/service/dsl/compiler/iprimitive_compiler.py", "17", "0", "100%"
"scarajectory/core/service/dsl/compiler/iscara_compiler.py", "18", "0", "100%"
"scarajectory/core/service/dsl/compiler/motion_command_compiler.py", "78", "27", "65%"
"scarajectory/core/service/dsl/compiler/scara_compiler.py", "80", "7", "91%"
"scarajectory/core/service/dsl/compiler/scara_compiler_context.py", "40", "6", "85%"
"scarajectory/core/service/dsl/compiler/state_command_compiler.py", "38", "5", "87%"
